username,account_age_days,followers,following,followers_following_ratio,posts,freq_per_day,avg_retweets,avg_likes,burstiness,hashtag_ratio,url_ratio,embed,heur_score,heur_label,buzzer_prob,coord_cluster,coordination_score,network_centrality,temporal_anomaly,buzzer_prob_enhanced,risk_category,buzzer_type_primary,buzzer_type_secondary,activity_pattern,type_confidence,government_score,opposition_score,commercial_score,spam_score
arif_stiawan20,0,0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,"[-2.28697658e-02  6.55997321e-02 -3.30503173e-02  1.82816200e-02
 -1.16596408e-01  2.26926897e-02  7.74775967e-02 -7.80522916e-03
 -1.13863805e-02 -2.84887627e-02  1.52080460e-02 -4.30518053e-02
 -4.52647693e-02 -5.74108735e-02  4.77665104e-02  1.26778483e-02
 -1.30716069e-02  2.72800140e-02 -3.14550512e-02 -2.89603155e-02
  4.06154245e-02  2.65015289e-02 -1.99013930e-02  4.17816900e-02
 -1.06028328e-02  5.41013218e-02  6.24686703e-02 -3.42427567e-02
  5.91511019e-02 -7.16845542e-02  3.71300569e-03  1.31036714e-01
  6.83268309e-02 -5.95889278e-02  1.49027081e-02  8.47779959e-02
 -3.59922238e-02 -3.92181650e-02  5.04905768e-02  9.93867125e-03
 -6.56228885e-03 -1.59613639e-02 -8.62263958e-04 -2.67876480e-02
  5.57534434e-02 -1.62502006e-02 -9.36578959e-02  4.28938158e-02
 -1.38057573e-02 -2.82278098e-02 -1.16499826e-01 -4.33552526e-02
 -1.99401956e-02  4.08450961e-02  3.69344130e-02 -1.03683189e-01
 -7.73758963e-02 -7.25873094e-03  2.82394961e-02 -5.98807931e-02
  1.95091555e-03  6.79055229e-02 -1.14412419e-02 -1.97818559e-02
  1.63891949e-02 -1.55429670e-03  4.24235463e-02 -5.97863039e-03
  1.76591449e-03  4.23671268e-02 -5.26303686e-02 -9.05642062e-02
 -5.09051047e-02  1.30907461e-01 -1.14202060e-01  1.21665075e-02
  3.63451764e-02 -3.07326484e-02  2.21211296e-02 -7.12264376e-03
 -6.97620586e-03 -1.95761006e-02  6.42055571e-02 -8.67666036e-04
 -5.00120111e-02 -4.47686128e-02 -9.28616375e-02  4.28103050e-03
 -2.31163539e-02  1.15046483e-02  7.74064362e-02  2.09432077e-02
  2.52305996e-02 -9.87120792e-02 -5.27910814e-02 -6.82330877e-02
 -8.00464228e-02 -2.47047562e-02 -1.77288447e-02  4.85733896e-02
  1.93043854e-02  8.32846016e-03  9.04108211e-03 -2.09809467e-02
 -1.42831588e-02 -2.93432474e-02  1.04440853e-03 -7.97594115e-02
  6.01416677e-02  1.74657255e-02 -1.01199225e-01 -3.84319836e-04
 -7.29206279e-02 -8.72175619e-02  2.34611295e-02  2.74906009e-02
  2.99641453e-02 -2.01014541e-02  2.32424848e-02  3.33782472e-02
 -5.05858101e-02 -1.90020259e-02  2.85198428e-02 -1.24204103e-02
 -1.58670153e-02 -7.16179702e-03 -2.37329514e-03  1.44054629e-32
  6.35018060e-03 -7.77325705e-02  9.51433778e-02 -9.30452794e-02
  1.78329647e-02 -1.31143734e-01  1.86945442e-02 -9.46410298e-02
  2.53858324e-03 -3.32652219e-02  2.97420118e-02  3.06864809e-02
  5.55319665e-03 -2.01746095e-02  4.83072214e-02 -2.63850056e-02
 -2.09528636e-02 -2.99427062e-02 -1.77572593e-02  3.72552611e-02
 -1.82011761e-02  6.42900094e-02  5.18791601e-02  1.93575621e-02
 -9.56859346e-03  1.75599568e-02  4.33878712e-02 -5.42031527e-02
 -3.86006478e-03  6.60341531e-02  8.65625888e-02 -4.99554984e-02
 -6.75997362e-02 -6.68546259e-02 -1.86280504e-01 -2.29278281e-02
 -6.11159839e-02 -7.80428946e-02 -6.54909685e-02 -9.25141498e-02
  4.59556375e-03 -3.67479958e-02  1.13477167e-02  9.32720155e-02
  1.52157322e-02  7.98210502e-02 -4.86734025e-02 -1.92091968e-02
  3.29627320e-02  7.47959912e-02 -8.91922787e-02 -9.56205186e-03
 -9.58327055e-02  8.25701933e-03  1.79158617e-02  2.10293406e-03
  9.99351963e-03  7.12399604e-03  8.59347917e-03 -1.27890687e-02
  5.50328568e-03 -1.44318817e-02 -6.12217700e-03 -3.07816416e-02
 -9.53626726e-03 -1.23241477e-01 -1.09268082e-02  9.81226377e-03
 -5.84942140e-02 -1.09523669e-01  7.47182174e-03 -8.58034659e-03
  3.01764682e-02  1.04039282e-01 -1.09839544e-01 -1.02164447e-02
  2.29088552e-02  2.87184231e-02  1.02259987e-03  4.03145179e-02
 -2.36835666e-02  4.99574915e-02  2.40296852e-02 -6.75948262e-02
  5.25846705e-02  2.67226193e-02  6.12088554e-02 -6.57432675e-02
  2.13059168e-02  5.95668294e-02 -8.81059840e-02  4.52709012e-02
  5.77531680e-02  2.90412903e-02 -4.38377745e-02 -1.34757688e-32
  4.66991141e-02 -1.33880526e-02 -5.90234585e-02  7.69269615e-02
  1.63818791e-03  3.25488672e-02  2.59533320e-02  9.71685257e-03
  2.91336346e-02  5.10932319e-03 -2.03306088e-03 -2.98239812e-02
  8.20595548e-02 -1.14481535e-03  1.19588040e-02 -4.61131372e-02
  1.08981788e-01  8.36547166e-02 -5.10172285e-02  7.92385486e-04
  8.78469925e-03  8.31581205e-02  2.14032345e-02  8.12192932e-02
  7.88970385e-03  3.16362418e-02  3.86687787e-03 -4.21015881e-02
 -7.73801003e-03  3.88283134e-02  5.48942648e-02  2.48919260e-02
 -5.52914068e-02  7.87838420e-04 -3.78933512e-02 -1.27115712e-01
  7.86553323e-02  1.97826121e-02 -3.99445295e-02  2.81681456e-02
  3.01432051e-02  5.93502447e-02 -2.20552254e-02  2.00069826e-02
  2.44702242e-04  5.52607365e-02  2.73419600e-02 -4.34732325e-02
 -2.89736409e-02 -1.03038587e-01  6.74899369e-02  2.96662729e-02
 -1.06781181e-02 -1.37532447e-02  3.44836898e-02  1.36465998e-02
 -5.53417094e-02 -4.21904176e-02 -5.36597855e-02  7.38785742e-03
  1.48611134e-02 -3.85234132e-04  4.12454605e-02 -8.60080682e-03
  8.23161453e-02  6.98751491e-03  1.36832632e-02 -4.55230325e-02
  1.19057335e-02 -5.35431616e-02 -1.90162435e-02 -4.48016040e-02
 -4.16017547e-02  3.79016697e-02 -2.79809814e-02  2.19000187e-02
 -2.82024834e-02  4.14793640e-02 -2.08444218e-03 -6.05455115e-02
  4.02226262e-02  9.53506771e-03 -5.84902018e-02  7.47903585e-02
 -1.17777067e-03 -6.26645386e-02  8.24381635e-02  2.26561651e-02
  4.16994542e-02  1.99603476e-02 -5.86867593e-02  9.11761075e-03
 -1.94694810e-02  1.27877742e-01  3.10429633e-02 -4.43248922e-08
  4.49451841e-02 -1.26949191e-01 -1.97269749e-02  4.51936796e-02
  5.31840087e-05 -1.95535086e-02 -3.73101123e-02 -2.20713634e-02
 -2.59902924e-02 -4.66919923e-03  2.64774775e-03  4.71720174e-02
 -2.79620718e-02 -1.20806135e-02  5.69184422e-02 -3.42307389e-02
  5.44333607e-02  7.75591210e-02  3.53290848e-02 -7.85946548e-02
  8.80507752e-02 -4.44292612e-02  4.62914295e-02  3.89123596e-02
  7.15988269e-03  9.26490575e-02  3.70566957e-02  1.53606730e-02
  5.27771711e-02  5.27748130e-02  1.90749541e-02  2.30939444e-02
 -2.04006117e-02  2.79735588e-02  3.38018015e-02 -8.19760468e-03
 -2.79023033e-02  1.51787736e-02  5.37564941e-02  8.61429647e-02
 -8.27088580e-02 -6.79158419e-02  3.94473933e-02  3.00062560e-02
 -5.63302562e-02  1.47748450e-02  8.29113927e-03  5.33032119e-02
 -3.02269906e-02 -1.15825221e-01 -5.34310192e-02 -8.16208050e-02
  5.04968688e-02  2.00657435e-02  2.08750088e-02  1.19256362e-01
  9.23871547e-02 -8.33962578e-03 -3.39652710e-02  6.33269176e-03
  1.35572851e-01 -4.32755649e-02 -6.05063625e-02  3.56052704e-02]",0.12499999999999999,1,0.0,0,0.7,1.0,0.0,0.41000000000000003,LOW,komersial,pemerintah,organik,0.1,0,0,0,0
bayu_widodo37,0,0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,"[ 1.03744380e-02  6.62273094e-02 -5.56920581e-02  9.03601572e-03
 -8.36438239e-02  2.05244147e-03  6.98556527e-02  2.58657485e-02
 -9.43114981e-03 -6.78530559e-02  3.91462334e-02 -2.20595449e-02
 -1.95266996e-02 -6.88793510e-02  1.28066456e-02  2.63135211e-04
 -4.65731211e-02  1.34281963e-02 -3.55564728e-02 -1.88835990e-02
  1.92255154e-02  4.17729607e-03 -2.75656655e-02  4.64956127e-02
  2.29418417e-03  1.48711409e-02  8.00925419e-02 -4.71372493e-02
 -1.71636064e-02 -3.05070672e-02  1.02698421e-02  1.18906081e-01
  4.72108461e-02 -4.90025617e-02 -4.74280817e-03  7.81430304e-02
 -5.26781604e-02 -9.05159581e-03  7.08321631e-02 -6.93683513e-03
  1.00880358e-02 -6.54249415e-02 -1.73410289e-02 -4.07974385e-02
  8.03163797e-02  7.95487035e-03 -6.75440803e-02 -3.19552445e-03
 -3.51087376e-02  4.56823502e-03 -7.46230781e-02  1.92979351e-02
 -5.85558871e-03  4.91442569e-02  8.06626678e-02 -1.76865369e-01
 -6.98124990e-02 -2.25221552e-02  4.76202071e-02 -7.43808299e-02
  1.14557510e-02  4.72178608e-02  6.52767625e-03 -2.17004884e-02
  3.51105109e-02 -2.05422007e-02  4.87079583e-02  1.79570040e-03
 -3.10535189e-02  5.02996258e-02 -6.79385960e-02 -6.64470717e-02
 -3.33202109e-02  9.38417241e-02 -1.23308495e-01 -8.88336543e-03
  3.79245840e-02 -4.43991423e-02  1.23072146e-02 -2.77742948e-02
  3.10527347e-03  5.90110105e-03  8.50672275e-02  5.74641153e-02
 -5.03921881e-02 -1.58826541e-02 -4.17352915e-02  2.03357600e-02
 -3.95832844e-02 -2.06963681e-02  7.10656345e-02  2.86226813e-03
  1.42756952e-02 -8.67175758e-02 -4.53123152e-02 -5.89032173e-02
 -1.16806723e-01 -5.33388220e-02 -2.38651466e-02  4.91527691e-02
 -3.21059562e-02 -6.11767499e-03  6.52913377e-03 -4.41133529e-02
 -4.86162603e-02 -3.04664951e-02  2.22693216e-02 -7.80338794e-02
  4.86816503e-02  1.41969873e-02 -1.01397604e-01  5.39135281e-03
 -7.12530166e-02 -7.80661255e-02  5.23001328e-02  5.06564379e-02
  4.21897843e-02  4.43881843e-03  1.60821322e-02  2.11896803e-02
 -2.74019036e-02  1.05181541e-02  2.60357074e-02 -9.41827800e-03
 -3.55933197e-02 -1.11996820e-02  9.59719066e-03  1.44331413e-32
 -3.89765203e-02 -1.14851266e-01  9.89241824e-02 -5.38532138e-02
  3.77605557e-02 -1.19273715e-01  3.25678959e-02 -1.00322179e-01
  1.52174840e-02 -6.14964217e-02  3.45804282e-02 -1.47583699e-02
  2.12416872e-02 -4.77030966e-03  2.89043970e-02 -7.00941086e-02
 -2.13150121e-02 -2.81683709e-02 -5.88242337e-02  1.56773757e-02
 -5.39844111e-02  6.77387938e-02  5.83538339e-02 -1.22067407e-02
  7.58606987e-03 -6.44179657e-02  3.25861275e-02 -4.85560074e-02
  2.38354374e-02  4.07546982e-02  7.54848793e-02  1.42540224e-02
 -6.66318089e-02 -4.40249704e-02 -1.34874225e-01  3.95545270e-04
 -2.73358524e-02 -6.91093728e-02 -2.02633310e-02 -1.26029417e-01
  7.83151248e-04 -2.56114192e-02  4.71030697e-02  3.24090533e-02
  2.55753454e-02  1.19906418e-01 -8.19832087e-02  1.48081817e-02
 -3.57294865e-02  1.06952384e-01 -9.43155885e-02  1.28135514e-02
 -5.03478907e-02 -3.00407838e-02  3.42978761e-02 -5.88548519e-02
 -5.95112506e-04  3.82242771e-03  7.24847429e-03  2.14048997e-02
 -2.92691197e-02 -2.33645327e-02 -3.80605906e-02 -1.72791053e-02
 -3.48812602e-02 -1.92489717e-02 -4.44332398e-02  2.75980458e-02
 -2.30133180e-02 -8.21818188e-02 -7.17292959e-03 -5.85422339e-03
 -1.33347027e-02  7.23314807e-02 -8.41919258e-02 -2.58180425e-02
 -1.52119910e-02  5.92328683e-02  6.88199652e-05  6.63959086e-02
 -2.47660950e-02  5.94488345e-02  2.38140430e-02 -8.82689282e-02
  6.60025328e-02  9.35862958e-03  1.10587187e-03 -8.82538706e-02
  4.74871732e-02  5.63243590e-02 -8.21506605e-02  5.05760275e-02
  4.30911258e-02  3.73053551e-02 -2.07176059e-02 -1.37145058e-32
  5.76644875e-02 -9.38927662e-03 -9.02319402e-02  7.68139064e-02
 -7.13563699e-04  4.64675315e-02  5.13246432e-02 -4.86688837e-02
  8.44958890e-03  2.24398691e-02  1.18323322e-02 -9.49834648e-04
  6.57008663e-02  1.51784839e-02  1.58811510e-02 -1.92319194e-03
  1.04435258e-01  7.73405060e-02  2.19815178e-03 -1.23508386e-02
  2.50821356e-02  8.36741924e-02  1.87236927e-02  7.82156438e-02
  2.13995371e-02  2.29153913e-02 -5.36296004e-03  2.87979096e-02
  2.33969484e-02 -2.07499620e-02  2.16425434e-02 -2.00444143e-02
 -4.74373959e-02  4.93189842e-02 -3.65075581e-02 -1.04489937e-01
  9.80210826e-02  2.42222752e-02 -4.40923199e-02  8.33858829e-03
 -2.14640349e-02  2.15693451e-02 -1.64951459e-02  3.51313800e-02
 -1.85313243e-02  2.39246450e-02  2.72892900e-02 -7.41356984e-03
 -3.90277170e-02 -1.49705499e-01  7.71366134e-02  2.12961789e-02
  2.17405278e-02  5.57954703e-03  2.25928873e-02  5.74919358e-02
 -2.39156093e-02 -5.34124784e-02 -8.46594572e-02  1.45676695e-02
  3.60871176e-03  6.36553392e-02  6.36916459e-02  2.63510086e-02
  4.46578451e-02 -8.51186272e-03  3.05854576e-03 -6.90032914e-02
  3.82372700e-02 -1.07229680e-01  1.33770891e-03 -4.05844226e-02
 -2.58499524e-04  1.99296847e-02 -4.31405194e-02 -1.48883313e-02
 -4.80861440e-02  6.19516633e-02 -4.29853648e-02 -3.33772935e-02
  3.16117443e-02 -1.00518167e-02 -5.08643761e-02  1.02386817e-01
 -3.51553522e-02 -5.79234250e-02  8.47973600e-02  1.07968440e-02
  7.68478308e-03  1.38503406e-02 -4.49842028e-02  2.06484664e-02
 -1.50527600e-02  1.41763404e-01  5.09549864e-02 -4.76783946e-08
  2.64332425e-02 -8.39451328e-02  1.10229421e-02  2.20890231e-02
 -2.87848823e-02 -1.55346189e-02  5.11106569e-03 -5.66290319e-02
 -6.69986978e-02  3.49298008e-02 -1.48703139e-02  4.89793494e-02
 -1.60589535e-02  1.25070903e-02  4.71853800e-02 -5.53619713e-02
  1.09112613e-01  6.56689629e-02  2.85536665e-02 -5.00697568e-02
  8.68200287e-02 -7.37922043e-02  2.50153374e-02  6.73288032e-02
 -1.67602164e-04  6.95897788e-02  1.62953865e-02  5.00585139e-03
  6.01944402e-02  5.55718169e-02  2.14078743e-02  3.19352038e-02
  1.64425373e-02  1.17378365e-02  9.05414578e-03  3.02672535e-02
 -3.30219157e-02  8.02619103e-03  6.09119125e-02  8.55767727e-02
 -5.91240749e-02 -1.17437690e-02  9.31003019e-02 -5.43818111e-03
 -2.15528551e-02 -1.94144975e-02 -2.92840730e-02  3.19173373e-02
 -8.22335482e-03 -1.13551080e-01  7.60869775e-03 -2.44534165e-02
  6.93096817e-02  2.07107868e-02  1.73815042e-02  1.14425696e-01
  5.85250147e-02 -2.15749945e-02 -2.86728553e-02  2.67381556e-02
  1.45557702e-01 -3.38986591e-02 -4.17532921e-02  4.83279936e-02]",0.12499999999999999,1,0.0,0,0.7,1.0,0.0,0.41000000000000003,LOW,komersial,oposisi,organik,0.25249999999999995,0,0,0,0
cakrajiya_ntsr,0,0,0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,"[-5.51366340e-03  1.09959491e-01 -4.90072444e-02 -2.41766423e-02
 -8.95666108e-02  1.68311056e-02  5.78446724e-02  6.70953318e-02
  9.69855301e-03 -3.42582278e-02  2.44732108e-02 -6.93339435e-03
 -4.09013126e-03 -5.59568442e-02  3.79348323e-02 -2.43958179e-02
 -3.71131562e-02  3.43463868e-02 -7.00291395e-02 -2.96544004e-02
  4.54187579e-02  1.51737448e-04 -1.45862307e-02  4.81099403e-03
 -4.76135034e-03  3.44229415e-02  6.06121086e-02 -2.44801864e-02
  1.08489478e-02 -4.60688658e-02  4.21203747e-02  1.45190775e-01
  5.14812768e-03 -3.12909372e-02 -1.63778178e-02  8.65278468e-02
 -6.86042085e-02 -6.28031930e-03  4.70791571e-02 -3.72830853e-02
  1.47133740e-02 -5.32032624e-02 -1.70056112e-02 -5.68443276e-02
  7.63633326e-02  6.85489643e-03 -1.16027042e-01 -1.18945260e-02
 -3.18962336e-02 -5.02990419e-03 -6.92715123e-02  1.67163294e-02
  4.14340347e-02  3.01155411e-02  3.69807892e-02 -1.31062195e-01
 -3.66814099e-02 -2.50547286e-02  2.24730838e-03 -5.88960275e-02
 -1.15381274e-02  7.48615935e-02 -4.19307016e-02 -4.23854031e-02
  1.71187446e-02  2.00577918e-03  1.94016527e-02 -1.30315395e-02
 -3.05677168e-02  1.93560403e-02 -5.63862175e-02 -8.57634693e-02
 -2.10652966e-02  9.79916155e-02 -8.44039395e-02  3.62260872e-03
  1.25707788e-02  2.20794119e-02  2.03945208e-02 -5.46707958e-02
  1.08262640e-03 -6.50365418e-03  3.11666057e-02  4.68400158e-02
 -4.03027125e-02 -3.72560546e-02 -3.87463048e-02  1.15978727e-02
 -3.16083543e-02 -7.60373473e-03  9.88469347e-02  3.85518372e-02
 -1.31268827e-02 -6.53780922e-02 -1.01467103e-01 -6.94385767e-02
 -1.12036474e-01 -4.55095917e-02 -4.57591228e-02  2.91289948e-02
 -7.32093258e-03  1.45685961e-02  4.15235236e-02 -2.29310580e-02
 -4.09698784e-02 -3.66999768e-02  3.73092517e-02 -3.17200422e-02
  5.87490611e-02  1.80429295e-02 -7.54851922e-02 -2.07053758e-02
 -7.96793550e-02 -6.77788854e-02  5.49768396e-02  5.25468439e-02
  6.57504378e-03  1.02670323e-02  2.10491363e-02  2.15278417e-02
 -2.08666380e-02  2.57678628e-02  1.93594825e-02 -4.58408855e-02
  3.86669394e-03 -1.63357537e-02  1.90993939e-02  1.70631542e-32
 -4.97936085e-02 -8.78764242e-02  8.71281251e-02 -8.66299570e-02
  2.32285317e-02 -1.50379434e-01  1.49526605e-02 -8.66939127e-02
  7.14306012e-02 -4.71385419e-02  3.44080217e-02 -3.79463136e-02
 -1.66028310e-02 -5.44436686e-02  1.88156758e-02 -9.23518240e-02
  1.15091344e-02 -4.43510488e-02 -4.43869568e-02  3.92234065e-02
 -2.61109918e-02  5.41167445e-02  5.72035387e-02 -2.42863130e-02
 -1.12946518e-02 -2.61741914e-02  5.43942004e-02 -7.44043440e-02
  3.48071083e-02  5.83347231e-02  9.36890170e-02 -2.70614158e-02
 -6.66997135e-02 -4.34353054e-02 -1.35064363e-01 -3.22478265e-02
 -4.34904620e-02 -3.02470773e-02 -1.26485080e-02 -9.92828384e-02
  3.17959972e-02 -3.76294814e-02  6.93790913e-02  1.73549652e-02
  2.96632499e-02  1.33195907e-01 -2.95323599e-02  4.54793610e-02
  2.00974066e-02  9.63641703e-02 -6.32608980e-02 -6.44986518e-03
 -7.33601078e-02  1.66976079e-02  4.62394319e-02  2.68368572e-02
 -3.18735503e-02 -9.37426742e-03  3.60027105e-02 -1.28547894e-02
 -1.29565410e-02  4.89595626e-03 -2.25351043e-02  1.51956799e-02
 -2.53445767e-02 -1.11931145e-01  5.22810908e-04  2.12743500e-04
 -4.20493484e-02 -3.73386405e-02 -4.13842462e-02  2.71735736e-03
  3.01390812e-02  1.02672771e-01 -1.01063758e-01 -1.03067392e-02
  3.64677608e-02  7.95555487e-02 -1.23647870e-02  5.65682575e-02
 -2.14994308e-02  4.32005674e-02  8.15872219e-04 -1.07979402e-01
  5.63220158e-02  4.63991463e-02  1.95230749e-02 -7.27236196e-02
  3.52938361e-02  6.86909184e-02 -3.82161736e-02  7.51307383e-02
 -3.29086371e-03  6.52674660e-02 -3.24107558e-02 -1.59167636e-32
  9.78045315e-02 -5.80815366e-03 -2.61887610e-02  5.49951158e-02
  1.41578438e-02  7.16663823e-02  1.48333479e-02 -1.29405335e-02
  2.08843648e-02  2.93082818e-02  4.09431662e-03  2.53780242e-02
  5.55066988e-02 -3.42013612e-02 -6.15987740e-03 -3.71776596e-02
  7.14778453e-02  7.23335221e-02 -4.22718599e-02 -3.93255614e-04
 -3.71508412e-02  1.21785469e-01  3.89771350e-02  3.55632789e-02
  2.48920117e-02  4.69056657e-03 -1.67192649e-02  5.23443855e-02
 -1.27750169e-02  2.12024245e-03  6.98351264e-02 -5.48665784e-03
 -4.75353338e-02  8.16884451e-03 -3.17701027e-02 -1.38953745e-01
  8.92422274e-02  5.76299876e-02 -2.90448703e-02  3.61424759e-02
 -3.40649411e-02  4.24998216e-02  9.47427377e-03 -5.67782158e-03
 -7.77681824e-03 -7.25047812e-06  1.12230433e-02 -3.88355926e-02
 -2.77631450e-02 -8.75813216e-02  9.19248760e-02  4.29436490e-02
  4.31298576e-02 -4.03161570e-02  3.77155878e-02  4.27884758e-02
 -3.50905606e-03 -9.99342054e-02 -6.69582039e-02 -2.31588185e-02
 -3.25101167e-02  3.38312760e-02  9.09348875e-02 -7.70678185e-03
  3.49417739e-02 -3.71182635e-02  5.57257142e-03 -2.69630626e-02
  3.13671790e-02 -2.87858602e-02 -7.93165807e-03 -3.56831551e-02
  1.23422137e-02  2.67197974e-02  1.15330871e-02  1.42427813e-02
 -1.86897498e-02  3.94614674e-02 -3.22519988e-02 -8.34602639e-02
  3.86705548e-02  3.42019871e-02 -7.80973434e-02  4.22771983e-02
 -7.35730901e-02 -9.71185714e-02  4.62285057e-02 -9.11906920e-03
  2.83682197e-02 -9.78517579e-04 -3.55318300e-02  2.30742842e-02
 -1.46907447e-02  1.33303285e-01  2.91336756e-02 -4.97623880e-08
 -1.65995155e-02 -1.37157261e-01 -3.52199711e-02  2.96782907e-02
  1.16656283e-02 -2.78469697e-02 -1.77927092e-02 -4.01592776e-02
 -4.63904776e-02  1.42791250e-03  3.58168106e-03  4.93416749e-02
 -7.86509812e-02  1.59974005e-02 -1.08953919e-02 -4.98636961e-02
  8.65104347e-02  6.97215348e-02  1.65324826e-02 -5.83588406e-02
  9.38957483e-02 -9.76161137e-02  1.05877249e-02  3.70512791e-02
  4.10419926e-02  1.03774428e-01  1.01116467e-02 -1.99043322e-02
  2.18875743e-02  2.54521724e-02  4.92707267e-02  3.91717330e-02
  8.80528707e-03  2.60340814e-02  3.51420306e-02  1.50897438e-02
 -3.51050496e-02  2.90323291e-02  4.39438634e-02  8.31110105e-02
 -3.17283422e-02  8.56859609e-03  9.16556716e-02  9.06825066e-03
 -5.69229126e-02 -2.74662804e-02 -1.25833955e-02  3.25513743e-02
  1.88484862e-02 -6.94887936e-02 -3.50385755e-02 -2.56321952e-02
  8.54292884e-02  2.88627623e-03 -1.47491624e-03  1.10166758e-01
  5.34622483e-02 -1.31168012e-02 -9.83007066e-03  1.90059636e-02
  1.28545716e-01 -6.32152781e-02 -4.70519364e-02  6.76503628e-02]",0.12499999999999999,1,0.0,0,0.7,1.0,0.0,0.41000000000000003,LOW,komersial,pemerintah,organik,0.1,0,0,0,0
